"filename", "language", "Markdown", "Batch", "YAML", "JSON with Comments", "JSON", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_get_session.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 2, 9, 57
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_get_topic.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_get_topics.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_list_sessions.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_project_matching.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 11, 57
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_prompts.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_query_messages.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_resources.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_scope_resolution.ts", "TypeScript", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 4, 12, 143
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_search_by_symbol.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 3, 14, 89
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_search_messages.ts", "TypeScript", 0, 0, 0, 0, 0, 359, 0, 0, 0, 0, 0, 27, 49, 435
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_search_thread_messages.ts", "TypeScript", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 23, 24, 190
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_search_threads.ts", "TypeScript", 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 11, 37, 274
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tests\test_set_topic.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tools\messages.ts", "TypeScript", 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 18, 29, 308
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tools\search.ts", "TypeScript", 0, 0, 0, 0, 0, 684, 0, 0, 0, 0, 0, 85, 113, 882
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\tools\topics.ts", "TypeScript", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 36, 14, 164
"d:\Codez\Nexus\Reach2\context-core\server\src\mcp\transports\sse.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 39, 20, 183
"d:\Codez\Nexus\Reach2\context-core\server\src\models\AgentMessage.ts", "TypeScript", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 18, 9, 158
"d:\Codez\Nexus\Reach2\context-core\server\src\models\AgentMessageFound.ts", "TypeScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 44, 16, 176
"d:\Codez\Nexus\Reach2\context-core\server\src\models\AgentThread.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 16, 13, 43
"d:\Codez\Nexus\Reach2\context-core\server\src\models\ScopeEntry.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 3, 25
"d:\Codez\Nexus\Reach2\context-core\server\src\models\SearchResults.ts", "TypeScript", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 45, 19, 183
"d:\Codez\Nexus\Reach2\context-core\server\src\models\TopicEntry.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 8, 5, 19
"d:\Codez\Nexus\Reach2\context-core\server\src\search\fieldFilters.ts", "TypeScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 38, 15, 155
"d:\Codez\Nexus\Reach2\context-core\server\src\search\queryParser.ts", "TypeScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 53, 22, 177
"d:\Codez\Nexus\Reach2\context-core\server\src\search\searchEngine.ts", "TypeScript", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 51, 42, 351
"d:\Codez\Nexus\Reach2\context-core\server\src\search\threadAggregator.ts", "TypeScript", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 40, 30, 206
"d:\Codez\Nexus\Reach2\context-core\server\src\server\ContextServer.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 11, 14, 149
"d:\Codez\Nexus\Reach2\context-core\server\src\server\RouteContext.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Codez\Nexus\Reach2\context-core\server\src\server\routeUtils.ts", "TypeScript", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 30, 38, 343
